binomial,santini_population,santini_total_mass_Mt
Alouatta guariba,4717948.79773234,0.024478275285739
Alouatta ululata,150164.278282278,0.000955238354962
Amblysomus septentrionalis,93063.7715969061,2.35916660998157E-06
Arabitragus jayakari,41324.5126430397,0.00095046379079
Arborimus longicaudus,497316.616594566,1.11349190455523E-05
Arborimus pomo,137803.658499833,4.47724086465958E-06
Bunolagus monticularis,86819.4032532964,0.000151934823887
Callithrix aurita,1289346.11846996,0.000497945470953
Callithrix flaviceps,18728.60149157,6.98520649831086E-06
Callithrix jacchus,4816094.48789106,0.001397678781331
Callithrix penicillata,5649047.93128749,0.001920563315679
Canis mesomelas,14611913.653622,0.120508835475517
Cannomys badius,4470479.52298744,0.002110379268417
Cansumys canus,1096702.22650155,5.07319228191396E-05
Capra aegagrus,1792772.84169716,0.12791573389501
Capra nubiana,294409.742387296,0.014062104500659
Capricornis milneedwardsii,3464488.25083244,0.388022684093234
Capricornis rubidus,54441.4257794463,0.007349592480225
Capricornis sumatraensis,395465.955256852,0.043873863101297
Capricornis thar,547365.806214252,0.061304970295996
Capromys pilorides,919190.538141085,0.004779790798334
Caracal aurata,8564852.48775019,0.106204170848102
Caracal caracal,33380138.4834662,0.399372661268815
Castor fiber,8037542.69313973,0.152713311169655
Cephalophus harveyi,938249.560314738,0.01360471244952
Cercopithecus erythrotis,98945.3871020774,0.00032206525611
Chalinolobus dwyeri,13562606.3404671,0.000118537179416
Corynorhinus rafinesquii,40401690.2048786,0.000369675465375
Dipodomys agilis,219083.136852831,1.3190995669909E-05
Felovia vae,632719.353875747,0.000129707467545
Gazella dorcas,13939320.8148365,0.217954523294743
Geomys arenarius,552740.309746733,0.000113864503808
Geomys knoxjonesi,175231.194177843,3.02256286837361E-05
Glauconycteris variegata,124916054.01565,0.001405305607676
Hipposideros scutinares,203029.010844349,4.42806272651525E-06
Idionycteris phyllotis,17419938.0625915,0.000211303848699
Leptonycteris yerbabuenae,20355868.0699455,0.000452714505876
Macaca silenus,23770.0925894954,0.000142507647597
Macropus parma,65135.3752306654,0.000270743003391
Marmosops impavidus,11559185.8879245,0.000482133643385
Marmota baibacina,1481924.17040544,0.007965342415929
Martes flavigula,30987603.8663576,0.077612792147834
Martes zibellina,43794249.1564281,0.051410507027223
Mico rondoni,224218.225061266,7.39920142702176E-05
Microdipodops pallidus,353308.823132393,4.72020587704878E-06
Mormopterus beccarii,6013584.54475305,8.59942589899686E-05
Mormopterus norfolkensis,3493616.31474142,2.79489305179313E-05
Muntiacus reevesi,5099315.50151601,0.068840453311536
Musonycteris harrisoni,928960.016773309,2.13359938140077E-05
Myotis austroriparius,23626161.8824572,0.000173652289836
Myotis keenii,4265746.71986652,2.7770011146331E-05
Myotis punicus,13927340.503604,0.000133663051829
Naemorhedus baileyi,274068.393142962,0.007910559362062
Nanger granti,949239.882585136,0.052649077498048
Neotoma floridana,15736928.5165758,0.00392101310919
Nyctalus lasiopterus,50239821.0359868,0.002310026971235
Oryctolagus cuniculus,3469985.21943887,0.005519254390483
Pan paniscus,568197.556939799,0.019955069789848
Pardofelis marmorata,4716426.27430654,0.013331827821057
Pattonomys semivillosus,386933.879590825,0.000116080163877
Petrogale xanthopus,28525.5728714169,0.000242467084151
Phascogale calura,381315.231481247,1.64079944106381E-05
Podomys floridanus,1523621.1073033,4.68361128385034E-05
Presbytis comata,140503.491259316,0.000920307702993
Pronolagus crassicaudatus,1126894.92708669,0.002721755510545
Pronolagus saundersiae,1631593.8116884,0.00382974769665
Pteropus ocularis,364422.198339772,8.33652220922064E-05
Raphicerus campestris,6807101.61490158,0.079381219695223
Redunca redunca,6799236.94451727,0.294331828129361
Rhinolophus blasii,54740224.6894507,0.000563276912054
Rhinopithecus bieti,32155.98898943,0.000353733243118
Saccolaimus mixtus,1093914.7590202,5.16327766257536E-05
Semnopithecus dussumieri,1386366.79725136,0.023845508912724
Sminthopsis bindi,186444.712661702,4.14166213119503E-06
Sorex granarius,710626.579790095,4.54090384485871E-06
Sorex pacificus,957330.207700598,1.01094069933183E-05
Sorex tenellus,902319.503686331,3.42881411400806E-06
Steatomys pratensis,37278214.2461084,0.001139967791646
Sus scrofa,47686920.0828839,4.02818757725813
Taphozous achates,1740970.98705211,4.89473993009701E-05
Taphozous australis,1571679.82494376,4.41877782782939E-05
Taphozous troughtoni,12935122.2894499,0.000363670963168
Tatera indica,36640715.3195288,0.005066678114384
Thylamys citellus,1109392.39764856,3.39554991874431E-05
Thylamys fenestrae,1493282.69111281,4.57053422325383E-05
Thylamys pulchellus,3043938.30450259,9.31667143602571E-05
Zaglossus bartoni,691513.105834832,0.004494835187926
